序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音
10343,踱步,精熟,第7級,,5,1,"[['踱步', ['9465']]]",ㄉㄨㄛˋ ㄅㄨˋ,duòbù
10344,多才多藝,精熟,第7級,,3,1,"[['多才多藝', ['9414']]]",ㄉㄨㄛ ㄘㄞˊ ㄉㄨㄛ ㄧˋ,duōcáiduōyì
10345,多愁善感,精熟,第7級,,3,1,"[['多愁善感', ['9399']]]",ㄉㄨㄛ ㄔㄡˊ ㄕㄢˋ ㄍㄢˇ,duōchóushàngǎn
10346,多端,精熟,第7級,,3,0,[],ㄉㄨㄛ ㄉㄨㄢ,duōduān
10347,咄咄逼人,精熟,第7級,,3,3,"[['咄咄逼人', ['9456']]]",ㄉㄨㄛˋ ㄉㄨㄛˋ ㄅㄧ ㄖㄣˊ,duòduòbīrén
10348,跺腳,精熟,第7級,,3,1,"[['跺腳', ['9461']]]",ㄉㄨㄛˋ ㄐㄧㄠˇ,duòjiǎo
10349,多媒體,精熟,第7級,,6,2,"[['多媒體', ['9372']]]",ㄉㄨㄛ ㄇㄟˊ ㄊㄧˇ,duōméitǐ
10350,奪目,精熟,第7級,,4,1,"[['奪目', ['9434']]]",ㄉㄨㄛˊ ㄇㄨˋ,duómù
10351,多難,精熟,第7級,,3,2,"[['多難', ['9382']]]",ㄉㄨㄛ ㄋㄢˋ,duōnàn
10352,哆嗦,精熟,第7級,,4,0,"[['哆嗦', ['9428']]]",ㄉㄨㄛ ˙ㄙㄨㄛ,duōsuo
10353,多疑,精熟,第7級,,4,0,"[['多疑', ['9418']]]",ㄉㄨㄛ ㄧˊ,duōyí
10354,惡棍,精熟,第7級,,4,0,"[['惡棍', ['39441']]]",ㄜˋ ㄍㄨㄣˋ,ègùn
10355,惡果,精熟,第7級,,3,2,"[['惡果', ['39439']]]",ㄜˋ ㄍㄨㄛˇ,èguǒ
10356,噩耗,精熟,第7級,,3,1,"[['噩耗', ['39484']]]",ㄜˋ ㄏㄠˋ,èhào
