序號,詞語,等別,級別,情境,書面字頻(每百萬字),口語字頻(每百萬字),簡編本系統號,參考注音,參考漢語拼音
6506,昏暗,精熟,第6級,,10,3,"[['昏暗', ['20863']]]",ㄏㄨㄣ ㄢˋ,hūnàn
6507,混蛋,精熟,第6級,,9,0,"[['混蛋', ['20905']]]",ㄏㄨㄣˋ ㄉㄢˋ,hùndàn
6508,渾身,精熟,第6級,,29,2,"[['渾身', ['20888']]]",ㄏㄨㄣˊ ㄕㄣ,húnshēn
6509,混淆,精熟,第6級,,14,4,"[['混淆', ['20920']]]",ㄏㄨㄣˋ ㄧㄠˊ,hùnyáo
6510,混雜,精熟,第6級,,7,3,"[['混雜', ['20919']]]",ㄏㄨㄣˋ ㄗㄚˊ,hùnzá
6511,和2,精熟,第6級,,5437,2135,"[['和', ['19016', '19190', '19725', '19883', '20369', '20436']]]",ㄏㄨㄛˋ,huò
6512,夥,精熟,第6級,,9,2,"[['夥', ['20357']]]",ㄏㄨㄛˇ,huǒ
6513,火把,精熟,第6級,,6,3,"[['火把', ['20291']]]",ㄏㄨㄛˇ ㄅㄚˇ,huǒbǎ
6514,火爆,精熟,第6級,,5,2,"[['火爆', ['20292']]]",ㄏㄨㄛˇ ㄅㄠˋ,huǒbào
6515,貨幣,精熟,第6級,,13,27,"[['貨幣', ['20372']]]",ㄏㄨㄛˋ ㄅㄧˋ,huòbì
6516,或多或少,精熟,第6級,,7,2,[],ㄏㄨㄛˋ ㄉㄨㄛ ㄏㄨㄛˋ ㄕㄠˇ,huòduōhuòshǎo
6517,活化,精熟,第6級,,28,13,"[['活化', ['20272']]]",ㄏㄨㄛˊ ㄏㄨㄚˋ,huóhuà
6518,火花,精熟,第6級,,8,6,"[['火花', ['20311']]]",ㄏㄨㄛˇ ㄏㄨㄚ,huǒhuā
6519,活活,精熟,第6級,,9,4,[],ㄏㄨㄛˊ ㄏㄨㄛˊ,huóhuó
6520,火箭,精熟,第6級,,8,6,"[['火箭', ['20316']]]",ㄏㄨㄛˇ ㄐㄧㄢˋ,huǒjiàn
6521,活命,精熟,第6級,,5,1,"[['活命', ['20262']]]",ㄏㄨㄛˊ ㄇㄧㄥˋ,huómìng
6522,活期,精熟,第6級,,1,0,[],ㄏㄨㄛˊ ㄑㄧˊ,huóqí
6523,火氣,精熟,第6級,,5,2,"[['火氣', ['20319']]]",ㄏㄨㄛˇ ㄑㄧˋ,huǒqì
6524,獲取,精熟,第6級,,10,6,"[['獲取', ['20422']]]",ㄏㄨㄛˋ ㄑㄩˇ,huòqǔ
6525,活生生,精熟,第6級,,14,6,"[['活生生', ['20281']]]",ㄏㄨㄛˊ ㄕㄥ ㄕㄥ,huóshēngshēng
6526,活性,精熟,第6級,,5,19,"[['活性', ['20277']]]",ㄏㄨㄛˊ ㄒㄧㄥˋ,huóxìng
6527,火焰,精熟,第6級,,12,2,"[['火焰', ['20350']]]",ㄏㄨㄛˇ ㄧㄢˋ,huǒyàn
6528,貨真價實,精熟,第6級,,3,1,"[['貨真價實', ['20381']]]",ㄏㄨㄛˋ ㄓㄣ ㄐㄧㄚˋ ㄕˊ,huòzhēnjiàshí
6529,獲准,精熟,第6級,,5,2,"[['獲准', ['20426']]]",ㄏㄨㄛˋ ㄓㄨㄣˇ,huòzhǔn
6530,即,精熟,第6級,,343,22,"[['即', ['21386']]]",ㄐㄧˊ,jí
6531,疾,精熟,第6級,,14,4,"[['疾', ['21454']]]",ㄐㄧˊ,jí
6532,集,精熟,第6級,,35,57,"[['集', ['21479']]]",ㄐㄧˊ,jí
6533,劑,精熟,第6級,,8,21,"[['劑', ['21692']]]",ㄐㄧˋ,jì
6534,忌,精熟,第6級,,11,4,"[['忌', ['21576']]]",ㄐㄧˋ,jì
6535,暨,精熟,第6級,,13,5,"[['暨', ['21652']]]",ㄐㄧˋ,jì
6536,祭,精熟,第6級,,12,7,"[['祭', ['21674']]]",ㄐㄧˋ,jì
6537,繼,精熟,第6級,,20,11,"[['繼', ['21713']]]",ㄐㄧˋ,jì
6538,際,精熟,第6級,,52,15,"[['際', ['21688']]]",ㄐㄧˋ,jì
6539,即便,精熟,第6級,,36,23,[],ㄐㄧˊ ㄅㄧㄢˋ,jíbiàn
6540,基層,精熟,第6級,,10,6,"[['基層', ['21188']]]",ㄐㄧ ㄘㄥˊ,jīcéng
6541,急促,精熟,第6級,,8,1,"[['急促', ['21450']]]",ㄐㄧˊ ㄘㄨˋ,jícù
6542,激盪,精熟,第6級,,9,4,"[['激盪', ['21276']]]",ㄐㄧ ㄉㄤˋ,jīdàng
6543,極點,精熟,第6級,,9,1,"[['極點', ['21409']]]",ㄐㄧˊ ㄉㄧㄢˇ,jídiǎn
6544,既定,精熟,第6級,,9,3,"[['既定', ['21648']]]",ㄐㄧˋ ㄉㄧㄥˋ,jìdìng
6545,極度,精熟,第6級,,25,5,"[['極度', ['21410']]]",ㄐㄧˊ ㄉㄨˋ,jídù
6546,極端,精熟,第6級,,38,50,"[['極端', ['21411']]]",ㄐㄧˊ ㄉㄨㄢ,jíduān
6547,繼而,精熟,第6級,,7,1,[],ㄐㄧˋ ㄦˊ,jìér
6548,激發,精熟,第6級,,30,10,"[['激發', ['21273']]]",ㄐㄧ ㄈㄚ,jīfā
6549,繼父,精熟,第6級,,4,1,"[['繼父', ['21715']]]",ㄐㄧˋ ㄈㄨˋ,jìfù
6550,肌膚,精熟,第6級,,10,2,"[['肌膚', ['21158']]]",ㄐㄧ ㄈㄨ,jīfū
6551,機關,精熟,第6級,,30,13,"[['機關', ['21231']]]",ㄐㄧ ㄍㄨㄢ,jīguān
6552,集會,精熟,第6級,,9,6,"[['集會', ['21484']]]",ㄐㄧˊ ㄏㄨㄟˋ,jíhuì
6553,忌諱,精熟,第6級,,6,4,"[['忌諱', ['21579']]]",ㄐㄧˋ ㄏㄨㄟˋ,jìhuì
6554,即將,精熟,第6級,,64,61,"[['即將', ['21390']]]",ㄐㄧˊ ㄐㄧㄤ,jíjiāng
6555,計較,精熟,第6級,,10,12,"[['計較', ['21640']]]",ㄐㄧˋ ㄐㄧㄠˋ,jìjiào
6556,集結,精熟,第6級,,12,12,"[['集結', ['21485']]]",ㄐㄧˊ ㄐㄧㄝˊ,jíjié
6557,激進,精熟,第6級,,11,21,"[['激進', ['21283']]]",ㄐㄧ ㄐㄧㄣˋ,jījìn
6558,寂靜,精熟,第6級,,16,9,"[['寂靜', ['21475']]]",ㄐㄧˊ ㄐㄧㄥˋ,jíjìng
6559,即刻,精熟,第6級,,12,4,"[['即刻', ['21388']]]",ㄐㄧˊ ㄎㄜˋ,jíkè
6560,即可,精熟,第6級,,25,4,"[['即可', ['21387']]]",ㄐㄧˊ ㄎㄜˇ,jíkě
6561,吉利,精熟,第6級,,6,1,"[['吉利', ['21374']]]",ㄐㄧˊ ㄌㄧˋ,jílì
6562,極力,精熟,第6級,,19,6,"[['極力', ['21414']]]",ㄐㄧˊ ㄌㄧˋ,jílì
6563,激勵,精熟,第6級,,25,10,"[['激勵', ['21279']]]",ㄐㄧ ㄌㄧˋ,jīlì
6564,紀律,精熟,第6級,,21,5,"[['紀律', ['21592']]]",ㄐㄧˋ ㄌㄩˋ,jìlǜ
6565,機密,精熟,第6級,,10,4,"[['機密', ['21222']]]",ㄐㄧ ㄇㄧˋ,jīmì
6566,計謀,精熟,第6級,,9,1,"[['計謀', ['21631']]]",ㄐㄧˋ ㄇㄡˊ,jìmóu
6567,繼母,精熟,第6級,,5,0,"[['繼母', ['21714']]]",ㄐㄧˋ ㄇㄨˇ,jìmǔ
6568,機能,精熟,第6級,,19,9,"[['機能', ['21226']]]",ㄐㄧ ㄋㄥˊ,jīnéng
6569,妓女,精熟,第6級,,14,1,"[['妓女', ['21573']]]",ㄐㄧˋ ㄋㄩˇ,jìnǚ
6570,激怒,精熟,第6級,,10,2,"[['激怒', ['21278']]]",ㄐㄧ ㄋㄨˋ,jīnù
6571,極其,精熟,第6級,,28,3,[],ㄐㄧˊ ㄑㄧˊ,jíqí
6572,激起,精熟,第6級,,14,4,[],ㄐㄧ ㄑㄧˇ,jīqǐ
6573,急切,精熟,第6級,,10,2,"[['急切', ['21439']]]",ㄐㄧˊ ㄑㄧㄝˋ,jíqiè
6574,激情,精熟,第6級,,14,1,"[['激情', ['21286']]]",ㄐㄧ ㄑㄧㄥˊ,jīqíng
6575,汲取,精熟,第6級,,10,4,"[['汲取', ['21353']]]",ㄐㄧˊ ㄑㄩˇ,jíqǔ
6576,集權,精熟,第6級,,11,1,"[['集權', ['21488']]]",ㄐㄧˊ ㄑㄩㄢˊ,jíquán
6577,繼任,精熟,第6級,,10,2,"[['繼任', ['21720']]]",ㄐㄧˋ ㄖㄣˋ,jìrèn
6578,即時,精熟,第6級,,16,10,"[['即時', ['21393']]]",ㄐㄧˊ ㄕˊ,jíshí
6579,及時,精熟,第6級,,27,17,"[['及時', ['21347']]]",ㄐㄧˊ ㄕˊ,jíshí
6580,棘手,精熟,第6級,,11,7,"[['棘手', ['21478']]]",ㄐㄧˊ ㄕㄡˇ,jíshǒu
6581,記述,精熟,第6級,,8,2,"[['記述', ['21614']]]",ㄐㄧˋ ㄕㄨˋ,jìshù
6582,祭祀,精熟,第6級,,16,8,"[['祭祀', ['21685']]]",ㄐㄧˋ ㄙˋ,jìsì
6583,急速,精熟,第6級,,11,11,"[['急速', ['21451']]]",ㄐㄧˊ ㄙㄨˋ,jísù
6584,寄宿,精熟,第6級,,5,2,"[['寄宿', ['21668']]]",ㄐㄧˋ ㄙㄨˋ,jìsù
6585,寄託,精熟,第6級,,8,7,"[['寄託', ['21657']]]",ㄐㄧˋ ㄊㄨㄛ,jìtuō
6586,即位,精熟,第6級,,16,1,"[['即位', ['21396']]]",ㄐㄧˊ ㄨㄟˋ,jíwèi
6587,繼位,精熟,第6級,,17,2,"[['繼位', ['21722']]]",ㄐㄧˋ ㄨㄟˋ,jìwèi
6588,極限,精熟,第6級,,18,10,"[['極限', ['21417']]]",ㄐㄧˊ ㄒㄧㄢˋ,jíxiàn
6589,跡象,精熟,第6級,,17,12,"[['跡象', ['21269']]]",ㄐㄧ ㄒㄧㄤˋ,jīxiàng
6590,譏笑,精熟,第6級,,5,1,"[['譏笑', ['21265']]]",ㄐㄧ ㄒㄧㄠˋ,jīxiào
6591,機械,精熟,第6級,,28,23,"[['機械', ['21244']]]",ㄐㄧ ㄒㄧㄝˋ,jīxiè
6592,畸形,精熟,第6級,,5,3,"[['畸形', ['21202']]]",ㄐㄧ ㄒㄧㄥˊ,jīxíng
6593,記敘,精熟,第6級,,2,0,[],ㄐㄧˋ ㄒㄩˋ,jìxù
6594,積蓄,精熟,第6級,,7,3,"[['積蓄', ['21305']]]",ㄐㄧ ㄒㄩˋ,jīxù
6595,技藝,精熟,第6級,,10,10,"[['技藝', ['21570']]]",ㄐㄧˋ ㄧˋ,jìyì
6596,記憶體,精熟,第6級,,5,0,"[['記憶體', ['21617']]]",ㄐㄧˋ ㄧˋ ㄊㄧˇ,jìyìtǐ
6597,集郵,精熟,第6級,,1,0,"[['集郵', ['21496']]]",ㄐㄧˊ ㄧㄡˊ,jíyóu
6598,急於,精熟,第6級,,12,2,[],ㄐㄧˊ ㄩˊ,jíyú
6599,給予,精熟,第6級,,67,40,"[['給予', ['21538']]]",ㄐㄧˇ ㄩˇ,jǐyǔ
6600,基於,精熟,第6級,,43,12,[],ㄐㄧ ㄩˊ,jīyú
6601,機緣,精熟,第6級,,11,12,"[['機緣', ['21255']]]",ㄐㄧ ㄩㄢˊ,jīyuán
6602,急躁,精熟,第6級,,8,3,"[['急躁', ['21448']]]",ㄐㄧˊ ㄗㄠˋ,jízào
6603,及早,精熟,第6級,,10,5,"[['及早', ['21348']]]",ㄐㄧˊ ㄗㄠˇ,jízǎo
6604,極致,精熟,第6級,,9,4,"[['極致', ['21419']]]",ㄐㄧˊ ㄓˋ,jízhì
6605,機制,精熟,第6級,,55,37,[],ㄐㄧ ㄓˋ,jīzhì
6606,機智,精熟,第6級,,9,2,"[['機智', ['21247']]]",ㄐㄧ ㄓˋ,jīzhì
6607,脊椎,精熟,第6級,,12,13,"[['脊椎', ['21531']]]",ㄐㄧˇ ㄓㄨㄟ,jǐzhuī
6608,甲,精熟,第6級,,46,35,"[['甲', ['21887']]]",ㄐㄧㄚˇ,jiǎ
6609,甲板,精熟,第6級,,8,0,"[['甲板', ['21888']]]",ㄐㄧㄚˇ ㄅㄢˇ,jiǎbǎn
6610,家產,精熟,第6級,,9,2,"[['家產', ['21839']]]",ㄐㄧㄚ ㄔㄢˇ,jiāchǎn
6611,假定,精熟,第6級,,15,1,"[['假定', ['21910']]]",ㄐㄧㄚˇ ㄉㄧㄥˋ,jiǎdìng
6612,加緊,精熟,第6級,,6,8,"[['加緊', ['21743']]]",ㄐㄧㄚ ㄐㄧㄣˇ,jiājǐn
6613,加碼,精熟,第6級,,2,3,"[['加碼', ['21729']]]",ㄐㄧㄚ ㄇㄚˇ,jiāmǎ
6614,架設,精熟,第6級,,5,8,"[['架設', ['21938']]]",ㄐㄧㄚˋ ㄕㄜˋ,jiàshè
6615,假設,精熟,第6級,,84,34,"[['假設', ['21923']]]",ㄐㄧㄚˇ ㄕㄜˋ,jiǎshè
6616,加深,精熟,第6級,,11,11,"[['加深', ['21751']]]",ㄐㄧㄚ ㄕㄣ,jiāshēn
6617,家世,精熟,第6級,,5,1,"[['家世', ['21844']]]",ㄐㄧㄚ ㄕˋ,jiāshì
6618,家務,精熟,第6級,,11,8,"[['家務', ['21858']]]",ㄐㄧㄚ ㄨˋ,jiāwù
6619,假象,精熟,第6級,,6,1,"[['假象', ['21917']]]",ㄐㄧㄚˇ ㄒㄧㄤˋ,jiǎxiàng
6620,假想,精熟,第6級,,5,1,"[['假想', ['21916']]]",ㄐㄧㄚˇ ㄒㄧㄤˇ,jiǎxiǎng
6621,加以,精熟,第6級,,94,12,[],ㄐㄧㄚ ㄧˇ,jiāyǐ
6622,駕馭,精熟,第6級,,8,2,"[['駕馭', ['21949']]]",ㄐㄧㄚˋ ㄩˋ,jiàyù
6623,夾雜,精熟,第6級,,8,4,"[['夾雜', ['21876']]]",ㄐㄧㄚˊ ㄗㄚˊ,jiázá
6624,加重,精熟,第6級,,12,4,"[['加重', ['21749']]]",ㄐㄧㄚ ㄓㄨㄥˋ,jiāzhòng
6625,架子,精熟,第6級,,11,5,"[['架子', ['21939']]]",ㄐㄧㄚˋ ˙ㄗ,jiàzi
6626,賤,精熟,第6級,,9,1,"[['賤', ['23092']]]",ㄐㄧㄢˋ,jiàn
6627,間2,精熟,第6級,,400,316,"[['間', ['22826', '23056']]]",ㄐㄧㄢˋ,jiàn
6628,揀,精熟,第6級,,8,1,"[['揀', ['22867']]]",ㄐㄧㄢˇ,jiǎn
6629,兼,精熟,第6級,,61,16,"[['兼', ['22777']]]",ㄐㄧㄢ,jiān
6630,奸,精熟,第6級,,8,1,"[['奸', ['22756']]]",ㄐㄧㄢ,jiān
6631,煎熬,精熟,第6級,,10,8,"[['煎熬', ['22823']]]",ㄐㄧㄢ ㄠˊ,jiānáo
6632,檢測,精熟,第6級,,9,43,"[['檢測', ['22932']]]",ㄐㄧㄢˇ ㄘㄜˋ,jiǎncè
6633,檢察官,精熟,第6級,,10,1,"[['檢察官', ['22928']]]",ㄐㄧㄢˇ ㄔㄚˊ ㄍㄨㄢ,jiǎncháguān
6634,間諜,精熟,第6級,,11,2,"[['間諜', ['23058']]]",ㄐㄧㄢˋ ㄉㄧㄝˊ,jiàndié
6635,鑑定,精熟,第6級,,6,10,"[['鑑定', ['23086']]]",ㄐㄧㄢˋ ㄉㄧㄥˋ,jiàndìng
6636,尖端,精熟,第6級,,7,5,"[['尖端', ['22748']]]",ㄐㄧㄢ ㄉㄨㄢ,jiānduān
6637,間隔,精熟,第6級,,8,3,"[['間隔', ['23060']]]",ㄐㄧㄢˋ ㄍㄜˊ,jiàngé
6638,建構,精熟,第6級,,49,11,"[['建構', ['23010']]]",ㄐㄧㄢˋ ㄍㄡˋ,jiàngòu
6639,兼顧,精熟,第6級,,9,12,"[['兼顧', ['22781']]]",ㄐㄧㄢ ㄍㄨˋ,jiāngù
6640,簡化,精熟,第6級,,15,6,"[['簡化', ['22955']]]",ㄐㄧㄢˇ ㄏㄨㄚˋ,jiǎnhuà
6641,減緩,精熟,第6級,,8,21,"[['減緩', ['22891']]]",ㄐㄧㄢˇ ㄏㄨㄢˇ,jiǎnhuǎn
6642,簡潔,精熟,第6級,,8,3,"[['簡潔', ['22956']]]",ㄐㄧㄢˇ ㄐㄧㄝˊ,jiǎnjié
6643,剪接,精熟,第6級,,7,4,"[['剪接', ['22876']]]",ㄐㄧㄢˇ ㄐㄧㄝ,jiǎnjiē
6644,漸進,精熟,第6級,,5,2,"[['漸進', ['23070']]]",ㄐㄧㄢˋ ㄐㄧㄣˋ,jiànjìn
6645,兼具,精熟,第6級,,8,6,"[['兼具', ['22784']]]",ㄐㄧㄢ ㄐㄩˋ,jiānjù
6646,監控,精熟,第6級,,10,11,[],ㄐㄧㄢ ㄎㄨㄥˋ,jiānkòng
6647,艱苦,精熟,第6級,,11,13,"[['艱苦', ['22855']]]",ㄐㄧㄢ ㄎㄨˇ,jiānkǔ
6648,艱困,精熟,第6級,,5,8,"[['艱困', ['22856']]]",ㄐㄧㄢ ㄎㄨㄣˋ,jiānkùn
6649,簡陋,精熟,第6級,,7,11,"[['簡陋', ['22952']]]",ㄐㄧㄢˇ ㄌㄡˋ,jiǎnlòu
6650,兼任,精熟,第6級,,7,1,"[['兼任', ['22790']]]",ㄐㄧㄢ ㄖㄣˋ,jiānrèn
6651,尖銳,精熟,第6級,,15,4,"[['尖銳', ['22752']]]",ㄐㄧㄢ ㄖㄨㄟˋ,jiānruì
6652,健身房,精熟,第6級,,5,3,[],ㄐㄧㄢˋ ㄕㄣ ㄈㄤˊ,jiànshēnfáng
6653,檢視,精熟,第6級,,33,14,"[['檢視', ['22930']]]",ㄐㄧㄢˇ ㄕˋ,jiǎnshì
6654,堅守,精熟,第6級,,13,5,"[['堅守', ['22812']]]",ㄐㄧㄢ ㄕㄡˇ,jiānshǒu
6655,見聞,精熟,第6級,,6,2,"[['見聞', ['23001']]]",ㄐㄧㄢˋ ㄨㄣˊ,jiànwén
6656,堅信,精熟,第6級,,11,5,"[['堅信', ['22807']]]",ㄐㄧㄢ ㄒㄧㄣˋ,jiānxìn
6657,艱辛,精熟,第6級,,9,18,"[['艱辛', ['22860']]]",ㄐㄧㄢ ㄒㄧㄣ,jiānxīn
6658,堅毅,精熟,第6級,,10,7,"[['堅毅', ['22816']]]",ㄐㄧㄢ ㄧˋ,jiānyì
6659,堅硬,精熟,第6級,,9,9,"[['堅硬', ['22817']]]",ㄐㄧㄢ ㄧㄥˋ,jiānyìng
6660,監獄,精熟,第6級,,35,30,"[['監獄', ['22850']]]",ㄐㄧㄢ ㄩˋ,jiānyù
6661,見證,精熟,第6級,,18,35,"[['見證', ['22992']]]",ㄐㄧㄢˋ ㄓㄥˋ,jiànzhèng
6662,僵,精熟,第6級,,5,1,"[['僵', ['23442']]]",ㄐㄧㄤ,jiāng
6663,江湖,精熟,第6級,,21,3,"[['江湖', ['23419']]]",ㄐㄧㄤ ㄏㄨˊ,jiānghú
6664,僵局,精熟,第6級,,5,7,"[['僵局', ['23447']]]",ㄐㄧㄤ ㄐㄩˊ,jiāngjú
6665,將軍,精熟,第6級,,129,14,"[['將軍', ['23435']]]",ㄐㄧㄤ ㄐㄩㄣ,jiāngjūn
6666,講理,精熟,第6級,,7,2,"[['講理', ['23485']]]",ㄐㄧㄤˇ ㄌㄧˇ,jiǎnglǐ
6667,降臨,精熟,第6級,,15,4,"[['降臨', ['23512']]]",ㄐㄧㄤˋ ㄌㄧㄣˊ,jiànglín
6668,將領,精熟,第6級,,33,2,"[['將領', ['23533']]]",ㄐㄧㄤˋ ㄌㄧㄥˇ,jiànglǐng
6669,講求,精熟,第6級,,10,13,"[['講求', ['23493']]]",ㄐㄧㄤˇ ㄑㄧㄡˊ,jiǎngqiú
6670,江山,精熟,第6級,,12,2,"[['江山', ['23422']]]",ㄐㄧㄤ ㄕㄢ,jiāngshān
6671,獎賞,精熟,第6級,,10,2,"[['獎賞', ['23479']]]",ㄐㄧㄤˇ ㄕㄤˇ,jiǎngshǎng
6672,講師,精熟,第6級,,7,6,"[['講師', ['23497']]]",ㄐㄧㄤˇ ㄕ,jiǎngshī
6673,講述,精熟,第6級,,15,4,"[['講述', ['23499']]]",ㄐㄧㄤˇ ㄕㄨˋ,jiǎngshù
6674,獎項,精熟,第6級,,5,4,"[['獎項', ['45226']]]",ㄐㄧㄤˇ ㄒㄧㄤˋ,jiǎngxiàng
6675,僵硬,精熟,第6級,,20,4,"[['僵硬', ['23449']]]",ㄐㄧㄤ ㄧㄥˋ,jiāngyìng
6676,講座,精熟,第6級,,9,11,"[['講座', ['23500']]]",ㄐㄧㄤˇ ㄗㄨㄛˋ,jiǎngzuò
6677,絞,精熟,第6級,,5,2,"[['絞', ['22448']]]",ㄐㄧㄠˇ,jiǎo
6678,繳,精熟,第6級,,12,19,"[['繳', ['22482', '45147']]]",ㄐㄧㄠˇ,jiǎo
6679,澆,精熟,第6級,,9,28,"[['澆', ['22375']]]",ㄐㄧㄠ,jiāo
6680,焦,精熟,第6級,,11,4,"[['焦', ['22354']]]",ㄐㄧㄠ,jiāo
6681,嚼,精熟,第6級,,13,7,"[['嚼', ['22423', '24179']]]",ㄐㄧㄠˊ/ ㄐㄩㄝˊ,jiáo/jué
6682,交叉,精熟,第6級,,13,7,"[['交叉', ['22327']]]",ㄐㄧㄠ ㄔㄚ,jiāochā
6683,轎車,精熟,第6級,,12,4,"[['轎車', ['22568']]]",ㄐㄧㄠˋ ㄔㄜ,jiàochē
6684,交錯,精熟,第6級,,10,8,"[['交錯', ['22333']]]",ㄐㄧㄠ ㄘㄨㄛˋ,jiāocuò
6685,交付,精熟,第6級,,6,3,"[['交付', ['22297']]]",ㄐㄧㄠ ㄈㄨˋ,jiāofù
6686,叫喊,精熟,第6級,,8,0,"[['叫喊', ['22505']]]",ㄐㄧㄠˋ ㄏㄢˇ,jiàohǎn
6687,叫好,精熟,第6級,,7,2,"[['叫好', ['22502']]]",ㄐㄧㄠˋ ㄏㄠˇ,jiàohǎo
6688,交互,精熟,第6級,,7,4,[],ㄐㄧㄠ ㄏㄨˋ,jiāohù
6689,狡猾,精熟,第6級,,10,1,"[['狡猾', ['22440']]]",ㄐㄧㄠˇ ㄏㄨㄚˊ,jiǎohuá
6690,教誨,精熟,第6級,,9,6,"[['教誨', ['22539']]]",ㄐㄧㄠˋ ㄏㄨㄟˋ,jiàohuì
6691,交集,精熟,第6級,,7,4,[],ㄐㄧㄠ ㄐㄧˊ,jiāojí
6692,焦急,精熟,第6級,,12,4,"[['焦急', ['22363']]]",ㄐㄧㄠ ㄐㄧˊ,jiāojí
6693,交際,精熟,第6級,,6,3,"[['交際', ['22315']]]",ㄐㄧㄠ ㄐㄧˋ,jiāojì
6694,交接,精熟,第6級,,5,6,"[['交接', ['22318']]]",ㄐㄧㄠ ㄐㄧㄝ,jiāojiē
6695,教科書,精熟,第6級,,15,7,"[['教科書', ['22537']]]",ㄐㄧㄠˋ ㄎㄜ ㄕㄨ,jiàokēshū
6696,交情,精熟,第6級,,9,2,"[['交情', ['22321']]]",ㄐㄧㄠ ㄑㄧㄥˊ,jiāoqíng
6697,交涉,精熟,第6級,,10,2,"[['交涉', ['22331']]]",ㄐㄧㄠ ㄕㄜˋ,jiāoshè
6698,交替,精熟,第6級,,9,10,"[['交替', ['22301']]]",ㄐㄧㄠ ㄊㄧˋ,jiāotì
6699,教條,精熟,第6級,,9,2,"[['教條', ['22530']]]",ㄐㄧㄠˋ ㄊㄧㄠˊ,jiàotiáo
6700,嬌小,精熟,第6級,,4,6,"[['嬌小', ['22401']]]",ㄐㄧㄠ ㄒㄧㄠˇ,jiāoxiǎo
6701,僥倖,精熟,第6級,,7,2,"[['僥倖', ['22473']]]",ㄐㄧㄠˇ ㄒㄧㄥˋ,jiǎoxìng
6702,教養,精熟,第6級,,36,26,"[['教養', ['22559']]]",ㄐㄧㄠˋ ㄧㄤˇ,jiàoyǎng
6703,教義,精熟,第6級,,9,10,"[['教義', ['22557']]]",ㄐㄧㄠˋ ㄧˋ,jiàoyì
6704,焦躁,精熟,第6級,,9,1,"[['焦躁', ['22366']]]",ㄐㄧㄠ ㄗㄠˋ,jiāozào
6705,交戰,精熟,第6級,,11,7,"[['交戰', ['22326']]]",ㄐㄧㄠ ㄓㄢˋ,jiāozhàn
6706,交織,精熟,第6級,,7,2,"[['交織', ['22325']]]",ㄐㄧㄠ ㄓ,jiāozhī
6707,轎子/轎,精熟,第6級,,25,3,"[['轎子', ['22569']], ['轎', ['22566']]]",ㄐㄧㄠˋ ˙ㄗ/ㄐㄧㄠˋ,jiàozi/jiào
6708,劫,精熟,第6級,,10,11,"[['劫', ['22051']]]",ㄐㄧㄝˊ,jié
6709,截,精熟,第6級,,18,14,"[['截', ['22166']]]",ㄐㄧㄝˊ,jié
6710,階,精熟,第6級,,5,9,"[['階', ['21975']]]",ㄐㄧㄝ,jiē
6711,結巴,精熟,第6級,,3,1,"[['結巴', ['22043']]]",ㄐㄧㄝ ˙ㄅㄚ,jiēba
6712,潔白,精熟,第6級,,7,1,"[['潔白', ['22176']]]",ㄐㄧㄝˊ ㄅㄞˊ,jiébái
6713,階層,精熟,第6級,,45,5,"[['階層', ['21980']]]",ㄐㄧㄝ ㄘㄥˊ,jiēcéng
6714,界定,精熟,第6級,,16,3,"[['界定', ['22238']]]",ㄐㄧㄝˋ ㄉㄧㄥˋ,jièdìng
6715,解讀,精熟,第6級,,20,14,"[['解讀', ['22195']]]",ㄐㄧㄝˇ ㄉㄨˊ,jiědú
6716,接二連三,精熟,第6級,,4,4,"[['接二連三', ['22019']]]",ㄐㄧㄝ ㄦˋ ㄌㄧㄢˊ ㄙㄢ,jiēèrliánsān
6717,揭發,精熟,第6級,,7,2,"[['揭發', ['22025']]]",ㄐㄧㄝ ㄈㄚ,jiēfā
6718,解放,精熟,第6級,,22,9,"[['解放', ['22192']]]",ㄐㄧㄝˇ ㄈㄤˋ,jiěfàng
6719,接獲,精熟,第6級,,4,3,"[['接獲', ['21998']]]",ㄐㄧㄝ ㄏㄨㄛˋ,jiēhuò
6720,藉機,精熟,第6級,,5,3,"[['藉機', ['22282']]]",ㄐㄧㄝˋ ㄐㄧ,jièjī
6721,節儉,精熟,第6級,,7,8,"[['節儉', ['22144']]]",ㄐㄧㄝˊ ㄐㄧㄢˇ,jiéjiǎn
6722,接見,精熟,第6級,,8,2,"[['接見', ['22000']]]",ㄐㄧㄝ ㄐㄧㄢˋ,jiējiàn
6723,結交,精熟,第6級,,13,4,"[['結交', ['22083']]]",ㄐㄧㄝˊ ㄐㄧㄠ,jiéjiāo
6724,街角,精熟,第6級,,5,1,"[['街角', ['22039']]]",ㄐㄧㄝ ㄐㄧㄠˇ,jiējiǎo
6725,捷徑,精熟,第6級,,9,4,"[['捷徑', ['22119']]]",ㄐㄧㄝˊ ㄐㄧㄥˋ,jiéjìng
6726,結晶,精熟,第6級,,10,10,"[['結晶', ['22084']]]",ㄐㄧㄝˊ ㄐㄧㄥ,jiéjīng
6727,解救,精熟,第6級,,7,3,"[['解救', ['22208']]]",ㄐㄧㄝˇ ㄐㄧㄡˋ,jiějiù
6728,揭開,精熟,第6級,,11,8,"[['揭開', ['22028']]]",ㄐㄧㄝ ㄎㄞ,jiēkāi
6729,接連,精熟,第6級,,10,10,"[['接連', ['21993']]]",ㄐㄧㄝ ㄌㄧㄢˊ,jiēlián
